Name,Type,Efficiency,Wattage,Modular,Rating,Rating Count,Price,Efficiency Rating
 Asus ROG LOKI  ,SFX, Rating80+ Platinum,850,Full,5, 1,194.04,4
 be quiet! SFX Power 3 450  ,SFX, Rating80+ Bronze,450,No,0, 0,103.1,1
 ADATA XPG CORE Reactor 650  ,ATX, Rating80+ Gold,650,Full,5, 2,87.99,3
 ADATA XPG CORE Reactor 750  ,ATX, Rating80+ Gold,750,Full,5, 10,97.99,3
 be quiet! SFX L Power  ,SFX, Rating80+ Gold,500,Full,4, 3,180.53,3
 Thermaltake Smart BX1 650  ,ATX, Rating80+ Bronze,650,No,4, 5,59.99,1
 SeaSonic FOCUS Plus Gold  ,ATX, Rating80+ Gold,1000,Full,5, 11,169.99,3
 Deepcool PM850D  ,ATX, Rating80+ Gold,850,No,4, 1,87.98,3
 Corsair HX1500i ,ATX, Rating80+ Platinum,1500,Full,5, 4,399.99,4
 Super Flower Leadex Platinum SE  ,ATX, Rating80+ Platinum,1000,Full,0, 0,210.62,4
 be quiet! Dark Power 13  ,ATX, Rating80+ Titanium,750,Full,0, 0,189.9,5
 Corsair SF450  ,SFX, Rating80+ Platinum,450,Full,5, 17,229.0,4
 SeaSonic FOCUS PX  ,ATX, Rating80+ Platinum,850,Full,5, 13,174.99,4
 EVGA SuperNOVA 1000 G+  ,ATX, Rating80+ Gold,1000,Full,5, 16,342.0,3
 Corsair RM850x  ,ATX, Rating80+ Gold,850,Full,5, 34,180.94,3
 EVGA SuperNOVA 1600 G2  ,ATX, Rating80+ Gold,1600,Full,4, 5,497.0,3
 SeaSonic VERTEX PX-1200  ,ATX, Rating80+ Platinum,1200,Full,5, 1,329.99,4
 BitFenix BFG GOLD ATX3.0  ,ATX, Rating80+ Gold,750,Full,0, 0,79.9,3
 Silverstone SX1000-LPT  ,SFX, Rating80+ Platinum,1000,Full,5, 6,254.04,4
 Corsair RM850  ,ATX, Rating80+ Gold,850,Full,5, 20,197.94,3
 SeaSonic PRIME Ultra Titanium  ,ATX, Rating80+ Titanium,1000,Full,5, 7,304.99,5
 be quiet! Straight Power 12  ,ATX, Rating80+ Platinum,1500,Full,0, 0,249.9,4
 Corsair SF600  ,SFX, Rating80+ Gold,600,Full,5, 103,229.0,3
 Asus ROG LOKI  ,SFX, Rating80+ Platinum,850,Full,5, 1,219.99,4
 Enermax REVOLUTION D.F. 2  ,ATX, Rating80+ Gold,1050,Full,5, 2,113.99,3
 FSP Group Hydro GE  ,ATX, Rating80+ Gold,550,Full,0, 0,74.98,3
 EVGA 650 BQ  ,ATX, Rating80+ Bronze,650,Semi,5, 53,84.99,1
 CoolMax ZX-500  ,ATX, Rating80+,500,No,5, 1,39.99,0
 Gigabyte UD1000GM PG5 ,ATX, Rating80+ Gold,1000,Full,0, 0,119.99,3
 EVGA 750 B5  ,ATX, Rating80+ Bronze,750,Full,5, 11,99.99,1
 Corsair HX1000i  ,ATX, Rating80+ Platinum,1000,Full,5, 41,399.0,4
 Corsair RM750x SHIFT  ,ATX, Rating80+ Gold,750,Full / Side,5, 2,129.99,3
 GameMax GX Pro Rampage  ,ATX, Rating80+ Gold,850,Full,0, 0,85.99,3
 Asus ROG Strix Aura Edition  ,ATX, Rating80+ Gold,1200,Full,0, 0,239.99,3
 Aerocool LUX RGB 750M ,ATX, Rating80+ Bronze,750,Semi,0, 0,93.54,1
 SeaSonic FOCUS GX  ,ATX, Rating80+ Gold,650,Full,5, 25,135.52,3
 SeaSonic S12III  ,ATX, Rating80+ Bronze,650,No,5, 23,76.86,1
 Asus ROG LOKI  ,SFX, Rating80+ Platinum,750,Full,5, 3,243.9,4
 Silverstone SFX  ,SFX, Rating80+ Bronze,300,No,0, 0,73.97,1
 EVGA SuperNOVA 1000 G5  ,ATX, Rating80+ Gold,1000,Full,5, 4,159.99,3
 SeaSonic VERTEX GX-1000  ,ATX, Rating80+ Gold,1000,Full,5, 3,189.99,3
 EVGA 550 BP  ,ATX, Rating80+ Bronze,550,No,5, 1,64.61,1
 Corsair HX850 Platinum  ,ATX, Rating80+ Platinum,850,Full,5, 16,349.0,4
 Silverstone SFX  ,SFX, Rating80+ Bronze,450,No,4, 1,95.38,1
 SeaSonic PRIME TX  ,ATX, Rating80+ Titanium,1300,Full,5, 1,439.99,5
 Silverstone HELA 1200R  ,ATX, Rating80+ Platinum,1200,Full,5, 3,249.99,4
 EVGA SuperNOVA 850 G6  ,ATX, Rating80+ Gold,850,Full,5, 10,179.99,3
 be quiet! Pure Power 9 CM  ,ATX, Rating80+ Bronze,600,Semi,5, 1,145.9,1
 Silverstone FX350-G  ,Flex ATX, Rating80+ Gold,350,No,5, 1,96.99,3
 be quiet! Straight Power 11 750W  ,ATX, Rating80+ Gold,750,Full,5, 12,260.0,3
 EVGA SuperNOVA 750 G3  ,ATX, Rating80+ Gold,750,Full,5, 188,307.99,3
