Name,Capacity,Price/GB,Type,Form Factor,Interface,Rating,Rating Count,Price
 Kingston Fury Renegade with Heat Sink  ,2 TB,$199.45,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,199.45
 Intenso Top Performance  ,512 GB,$54.41,SSD,M.2-2280,M.2 SATA,3, 1,54.41
 Lexar NM790 w/Heatsink  ,2 TB,$168.79,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,168.79
 TEAMGROUP EX2  ,1 TB,$57.99,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,57.99
 Sabrent Rocket 4 Plus G  ,4 TB,$499.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,499.99
 TEAMGROUP AX2  ,2 TB,$97.99,SSD,"2.5""",SATA 6.0 Gb/s,5, 2,97.99
 Western Digital WD_BLACK SN850P for PS5  ,2 TB,$199.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,199.99
 Seagate FireCuda 520 Rev 2.0  ,2 TB,$219.75,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,219.75
 Corsair MP600 PRO LPX  ,4 TB,$329.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 1,329.99
 FanXiang S660  ,2 TB,$119.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,119.99
 ADATA Premium For PS5  ,2 TB,$129.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,129.99
 Corsair MP600 PRO NH  ,1 TB,$94.99,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,94.99
 Western Digital Blue  ,500 GB,$89.99,SSD,M.2-2280,M.2 SATA,5, 140,89.99
 Lexar NS100  ,512 GB,$80.00,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,80.0
 Lexar NM710  ,500 GB,$65.00,SSD,M.2-2280,M.2 PCIe 4.0 X4,0, 0,65.0
 Gigabyte AORUS Gen4  ,1 TB,$169.00,SSD,M.2-2280,M.2 PCIe 4.0 X4,5, 12,169.0
 Crucial P2  ,250 GB,$49.99,SSD,M.2-2280,M.2 PCIe 3.0 X4,5, 5,49.99
 Intel D3-S4610  ,7.68 TB,$1015.00,SSD,"2.5""",SATA 6.0 Gb/s,0, 0,1015.0
 Western Digital Blue  ,2 TB,$142.69,SSD,M.2-2280,M.2 SATA,5, 26,142.69
