Name,Socket,Form Factor,Max Memory,Memory Slots,Rating,Rating Count,Price
 Asus ROG STRIX Z790-A GAMING WIFI D4  ,LGA1700,ATX,128 GB,4,5, 5,$267.61
 Gigabyte B550M AORUS ELITE  ,AM4,Micro ATX,128 GB,4,4, 9,$133.41
 Asus ROG STRIX Z790-F GAMING WIFI II  ,LGA1700,ATX,192 GB,4,0, 0,$384.99
 MSI MPG Z790 EDGE TI MAX WIFI  ,LGA1700,ATX,192 GB,4,5, 2,$329.99
 ASRock B650 PG LIGHTNING  ,AM5,ATX,192 GB,4,4, 4,$199.99
 ASRock B550 Pro4  ,AM4,ATX,128 GB,4,5, 14,$123.49
 ASRock B650 LiveMixer  ,AM5,ATX,192 GB,4,5, 2,$149.99
 Asus ROG Crosshair VIII Dark Hero  ,AM4,ATX,128 GB,4,5, 51,$429.00
 ASRock B550 Phantom Gaming 4  ,AM4,ATX,128 GB,4,4, 20,$114.99
 MSI MPG B650 CARBON WIFI  ,AM5,ATX,192 GB,4,5, 4,$316.95
 ASRock Fatal1ty B450 Gaming-ITX/ac  ,AM4,Mini ITX,64 GB,2,5, 83,$146.84
 Asus PRIME H510M-A WIFI  ,LGA1200,Micro ATX,64 GB,2,0, 0,$134.22
 ASRock X670E PG Lightning  ,AM5,ATX,192 GB,4,5, 6,$239.99
 ASRock B550 Phantom Gaming-ITX/ax  ,AM4,Mini ITX,64 GB,2,4, 32,$159.99
 ASRock A520M-HVS  ,AM4,Micro ATX,64 GB,2,4, 1,$72.92
 Gigabyte B550 AORUS ELITE V2  ,AM4,ATX,128 GB,4,5, 23,$156.99
 Asus PRIME X670-P WIFI  ,AM5,ATX,192 GB,4,0, 0,$209.99
 Asus PRIME B660M-A WIFI D4  ,LGA1700,Micro ATX,128 GB,4,5, 8,$176.03
 Asus ROG STRIX Z790-I GAMING WIFI  ,LGA1700,Mini ITX,96 GB,2,4, 3,$439.99
 Gigabyte B650M GAMING X AX  ,AM5,Micro ATX,192 GB,4,5, 3,$227.69
 ASRock B760M Pro RS/D4 WiFi  ,LGA1700,Micro ATX,128 GB,4,4, 2,$148.99
 ASRock B450M Steel Legend  ,AM4,Micro ATX,64 GB,4,4, 75,$108.53
 MSI MPG B760I EDGE WIFI  ,LGA1700,Mini ITX,96 GB,2,4, 2,$219.95
 Asus ROG STRIX B450-F GAMING  ,AM4,ATX,128 GB,4,5, 160,
 ASRock B550M Steel Legend  ,AM4,Micro ATX,128 GB,4,5, 29,$124.99
 ASRock Z690 PG Riptide  ,LGA1700,ATX,128 GB,4,5, 2,$124.99
 Asus TUF GAMING B760M-PLUS WIFI  ,LGA1700,Micro ATX,192 GB,4,0, 0,$226.39
 Gigabyte H510M K V2  ,LGA1200,Micro ATX,64 GB,2,3, 1,$86.92
 MSI Z390-A PRO  ,LGA1151,ATX,128 GB,4,4, 43,
 Asus ROG CROSSHAIR X670E EXTREME  ,AM5,EATX,192 GB,4,5, 1,
 Asus ROG STRIX B760-A GAMING WIFI D4  ,LGA1700,ATX,128 GB,4,5, 4,$300.75
 Asus PRIME H510M-K  ,LGA1200,Micro ATX,64 GB,2,4, 3,$129.97
 MSI Z790 GAMING PRO WIFI  ,LGA1700,ATX,192 GB,4,4, 3,$209.99
 MSI B760M GAMING PLUS WIFI  ,LGA1700,Micro ATX,192 GB,4,0, 0,$204.54
 Gigabyte X670E AORUS MASTER ,AM5,EATX,192 GB,4,0, 0,$429.99
 ASRock B650M PG Lightning Wifi  ,AM5,Micro ATX,192 GB,4,5, 1,
 ASRock B760M-HDV/M.2 D4  ,LGA1700,Micro ATX,64 GB,2,0, 0,$89.99
 Gigabyte B760M AORUS ELITE AX  ,LGA1700,Micro ATX,192 GB,4,4, 6,$169.99
 Asus PRIME Z390-P  ,LGA1151,ATX,128 GB,4,4, 4,$199.99
 MSI MPG Z790 CARBON WIFI  ,LGA1700,ATX,192 GB,4,5, 7,$398.39
 Asus TUF GAMING B760-PLUS WIFI  ,LGA1700,ATX,192 GB,4,0, 0,$199.99
 Gigabyte A620M GAMING X  ,AM5,Micro ATX,192 GB,4,0, 0,$119.99
 ASRock B660M-ITX/ac  ,LGA1700,Mini ITX,64 GB,2,5, 8,
 Asus ROG STRIX Z790-F GAMING WIFI  ,LGA1700,ATX,192 GB,4,5, 1,$309.99
 ASRock B450M Pro4  ,AM4,Micro ATX,128 GB,4,5, 132,$122.61
 ASRock A520M-ITX/ac  ,AM4,Mini ITX,64 GB,2,4, 3,$104.99
 Asus PRIME B660-PLUS D4  ,LGA1700,ATX,128 GB,4,4, 5,$143.99
 Gigabyte Z790 UD AC  ,LGA1700,ATX,192 GB,4,4, 8,$179.99
 Gigabyte B760 AORUS ELITE AX  ,LGA1700,ATX,192 GB,4,4, 1,$169.99
 Asus TUF GAMING Z690-PLUS WIFI  ,LGA1700,ATX,192 GB,4,5, 10,$209.70
 MSI PRO Z790-P WIFI DDR4  ,LGA1700,ATX,128 GB,4,5, 2,$199.99
 MSI MAG B760M MORTAR WIFI II  ,LGA1700,Micro ATX,192 GB,4,5, 2,$199.99
 ASRock B660M-HDV  ,LGA1700,Micro ATX,64 GB,2,4, 6,$93.95
 Gigabyte B450M DS3H  ,AM4,Micro ATX,128 GB,4,4, 107,$97.67
 Gigabyte H610I  ,LGA1700,Mini ITX,64 GB,2,0, 0,$109.99
 ASRock X570 Phantom Gaming-ITX/TB3  ,AM4,Mini ITX,64 GB,2,4, 8,$215.73
 Gigabyte TRX40 DESIGNARE  ,sTRX4,XL ATX,256 GB,8,0, 0,
 Gigabyte X670E AORUS XTREME ,AM5,EATX,192 GB,4,0, 0,$649.99
 ASRock H310CM-DVS  ,LGA1151,Micro ATX,32 GB,2,0, 0,$73.52
 Asus TUF GAMING B650-PLUS  ,AM5,ATX,128 GB,4,4, 2,$259.16
 ASRock X670E Taichi Carrara  ,AM5,EATX,192 GB,4,5, 2,$522.99
 MSI PRO B550M-P GEN3  ,AM4,Micro ATX,128 GB,4,0, 0,$129.99
