Memory Name,Memory Speed,Memory Modules,Memory Price/GB,Memory First Word Latency,Memory CAS Latency,Memory Rating,Memory Rating Count,Memory Price
 G.Skill Trident Z RGB 32 GB  ,DDR4-4000,4 x 8GB,$12.469,8.5 ns,17,0, 0,$399.00
 G.Skill Trident Z Royal 32 GB  ,DDR4-3200,2 x 16GB,$6.497,8.75 ns,14,5, 1,$207.91
 G.Skill NS 4 GB  ,DDR3-1333,2 x 2GB,$4.215,13.503 ns,9,5, 2,$16.86
 G.Skill Ripjaws X 8 GB  ,DDR3-1333,2 x 4GB,$3.331,13.503 ns,9,5, 8,$26.65
 Corsair Dominator Platinum 32 GB  ,DDR4-3000,2 x 16GB,,10 ns,15,5, 9,
 Patriot Signature Premium 8 GB  ,DDR4-2400,1 x 8GB,$2.499,14.167 ns,17,0, 0,$19.99
 TEAMGROUP Dark Pro 8PACK Edition 16 GB  ,DDR4-3600,2 x 8GB,,8.889 ns,16,0, 0,
 Patriot Signature Line 16 GB  ,DDR4-3200,1 x 16GB,$2.124,13.75 ns,22,0, 0,$33.99
 Kingston Fury Renegade RGB 16 GB  ,DDR5-7200,1 x 16GB,$8.749,10.556 ns,38,0, 0,$139.99
 TEAMGROUP Elite 64 GB  ,DDR5-5200,2 x 32GB,$2.672,16.154 ns,42,0, 0,$170.99
 Kingston ValueRAM 1 GB  ,DDR2-667,1 x 1GB,$11.950,14.993 ns,5,4, 1,$11.95
 Corsair Vengeance LPX 64 GB  ,DDR4-3333,4 x 16GB,$9.049,9.601 ns,16,0, 0,$579.14
 G.Skill Aegis 16 GB  ,DDR4-2400,1 x 16GB,,12.5 ns,15,5, 2,
 Corsair Dominator Platinum 32 GB  ,DDR3-1600,4 x 8GB,,8.75 ns,7,5, 1,
 ADATA AD4U2400W4G17-S 4 GB  ,DDR4-2400,1 x 4GB,,14.167 ns,17,0, 0,
 Crucial Ballistix 32 GB  ,DDR4-3600,2 x 16GB,,8.889 ns,16,5, 4,
 Lexar Hades RGB 16 GB  ,DDR4-3200,2 x 8GB,,11.25 ns,18,0, 0,
 ADATA XPG GAMMIX D45 16 GB  ,DDR4-3600,2 x 8GB,,10 ns,18,0, 0,
 Neo Forza FAYE 32 GB  ,DDR4-3600,2 x 16GB,,10 ns,18,0, 0,
 OLOy Blade RGB 64 GB  ,DDR5-6000,2 x 32GB,,10.667 ns,32,0, 0,
 G.Skill Ripjaws 16 GB  ,DDR3-1600,2 x 8GB,$2.124,11.25 ns,9,0, 0,$33.99
 Kingston Server Premier 32 GB  ,DDR4-2666,1 x 32GB,,14.254 ns,19,0, 0,
 G.Skill Ripjaws S5 64 GB  ,DDR5-5200,2 x 32GB,$2.906,13.846 ns,36,0, 0,$185.98
 Corsair Vengeance RGB 32 GB  ,DDR5-6000,2 x 16GB,,10 ns,30,0, 0,
 Corsair Vengeance RGB RT 16 GB  ,DDR4-3200,2 x 8GB,$3.873,10 ns,16,0, 0,$61.97
 Kingston Server Premier 8 GB  ,DDR4-2666,1 x 8GB,$4.330,14.254 ns,19,0, 0,$34.64
 Corsair Vengeance RGB 48 GB  ,DDR5-6400,2 x 24GB,$4.062,11.25 ns,36,0, 0,$194.99
 Micron MT16KTF1G64AZ-1G6E1 8 GB  ,DDR3-1600,1 x 8GB,$2.209,13.75 ns,11,5, 3,$17.67
 ADATA XPG GAMMIX D45 64 GB  ,DDR4-3200,2 x 32GB,,10 ns,16,5, 1,
 Klevv Genuine 8 GB  ,DDR3-1600,2 x 4GB,,11.25 ns,9,0, 0,
 Corsair Vengeance LPX 8 GB  ,DDR4-2666,2 x 4GB,$4.374,11.253 ns,15,5, 3,$34.99
 Kingston Fury Renegade RGB 64 GB  ,DDR4-3600,4 x 16GB,$3.231,8.889 ns,16,0, 0,$206.80
 Kingston FURY Renegade 16 GB  ,DDR4-4800,2 x 8GB,$20.624,7.917 ns,19,0, 0,$329.98
 Kingston Fury Beast RGB Special Edition 8 GB  ,DDR4-3600,1 x 8GB,$4.713,9.444 ns,17,0, 0,$37.70
 G.Skill Trident Z Royal 32 GB  ,DDR4-4266,2 x 16GB,$8.064,7.501 ns,16,0, 0,$258.04
 Corsair Dominator Platinum RGB 64 GB  ,DDR4-3200,2 x 32GB,$2.969,10 ns,16,0, 0,$189.99
 TEAMGROUP T-Force Delta RGB 64 GB  ,DDR4-3200,2 x 32GB,$2.109,10 ns,16,0, 0,$134.99
 Kingston FURY Beast 32 GB  ,DDR4-2666,4 x 8GB,$3.141,12.003 ns,16,0, 0,$100.52
 Corsair XMS3 16 GB  ,DDR3-1333,4 x 4GB,$5.937,13.503 ns,9,5, 4,$94.99
 G.Skill Trident Z Royal 16 GB  ,DDR4-4000,2 x 8GB,$6.283,9 ns,18,5, 1,$100.53
 G.Skill Ripjaws V 256 GB  ,DDR4-3200,8 x 32GB,$2.479,10 ns,16,0, 0,$634.58
 TEAMGROUP T-Force Vulcan Z 8 GB  ,DDR4-3200,1 x 8GB,$3.250,10 ns,16,0, 0,$26.00
 G.Skill Trident Z RGB 64 GB  ,DDR4-4000,8 x 8GB,$6.594,9 ns,18,0, 0,$422.04
 Kingston HyperX Fury 64 GB  ,DDR4-3466,2 x 32GB,$7.016,9.81 ns,17,0, 0,$449.00
 ADATA XPG SPECTRIX D50 16 GB  ,DDR4-3200,1 x 16GB,,10 ns,16,0, 0,
 GeIL Polaris 32 GB  ,DDR5-5600,2 x 16GB,$3.125,16.429 ns,46,0, 0,$99.99
 Corsair Vengeance Pro 16 GB  ,DDR3-2400,2 x 8GB,,9.167 ns,11,5, 30,
 Crucial CT4K16G4WFD8266 64 GB  ,DDR4-2666,4 x 16GB,,14.254 ns,19,0, 0,
 TEAMGROUP T-Force Vulcan 32 GB  ,DDR4-3200,4 x 8GB,,10 ns,16,0, 0,
 Corsair Vengeance LPX 128 GB  ,DDR4-4000,8 x 16GB,,9.5 ns,19,0, 0,
 GeIL EVO X II AMD 16 GB  ,DDR4-3200,2 x 8GB,,10 ns,16,5, 2,
 Kingston HyperX Predator RGB 64 GB  ,DDR4-3000,4 x 16GB,,10 ns,15,0, 0,
 Kingston HyperX Fury 8 GB  ,DDR4-3200,2 x 4GB,,11.25 ns,18,5, 1,
 ADATA XPG GAMMIX D10 16 GB  ,DDR4-3600,2 x 8GB,,10 ns,18,5, 1,
 Corsair Vengeance RGB RS 32 GB  ,DDR4-3600,4 x 8GB,$5.334,10 ns,18,0, 0,$170.68
 Mushkin Redline 32 GB  ,DDR5-6000,2 x 16GB,,12 ns,36,0, 0,
 ADATA AD3U1600W4G11-B 4 GB  ,DDR3-1600,1 x 4GB,,13.75 ns,11,0, 0,
 TEAMGROUP T-Force Delta TUF Gaming Alliance RGB 32 GB  ,DDR5-6000,2 x 16GB,,12.667 ns,38,0, 0,
 TEAMGROUP T-Force Vulcan 32 GB  ,DDR5-6400,2 x 16GB,,9.375 ns,30,0, 0,
 G.Skill Trident Z RGB 32 GB  ,DDR4-3600,2 x 16GB,,8.889 ns,16,5, 6,
 Mushkin Redline Lumina White 32 GB  ,DDR5-6000,2 x 16GB,$3.499,10 ns,30,0, 0,$111.98
 Corsair ValueSelect 16 GB  ,DDR4-2133,2 x 8GB,$2.499,14.065 ns,15,0, 0,$39.99
 G.Skill Ripjaws V 32 GB  ,DDR4-4400,2 x 16GB,$6.508,7.727 ns,17,0, 0,$208.24
 Patriot Viper Venom RGB 32 GB  ,DDR5-7200,2 x 16GB,$4.531,11.111 ns,40,0, 0,$144.99
 Samsung M393A4K40CB2-CTD 32 GB  ,DDR4-2666,1 x 32GB,$1.470,14.254 ns,19,0, 0,$47.03
 Corsair Vengeance LPX 32 GB  ,DDR4-2666,2 x 16GB,$2.312,12.003 ns,16,4, 1,$73.98
 Kingston Fury Renegade RGB 32 GB  ,DDR4-3200,2 x 16GB,$3.281,10 ns,16,0, 0,$104.99
 G.Skill Ripjaws X 8 GB  ,DDR3-1866,2 x 4GB,$5.320,9.646 ns,9,5, 113,$42.56
 G.Skill Ares 32 GB  ,DDR3-2400,4 x 8GB,$5.393,9.167 ns,11,0, 0,$172.57
 Mushkin Redline 16 GB  ,DDR4-3200,2 x 8GB,$3.786,8.75 ns,14,0, 0,$60.58
 Corsair Dominator Platinum RGB 32 GB  ,DDR5-6000,2 x 16GB,,10 ns,30,0, 0,
 G.Skill Ripjaws V 16 GB  ,DDR4-2400,2 x 8GB,$2.912,12.5 ns,15,5, 7,$46.59
 Corsair Dominator Platinum RGB 16 GB  ,DDR4-4000,2 x 8GB,$7.187,9 ns,18,0, 0,$114.99
 Corsair Vengeance 16 GB  ,DDR3-1600,4 x 4GB,$9.999,11.25 ns,9,5, 13,$159.99
 GeIL EVO V RGB 32 GB  ,DDR5-8000,2 x 16GB,$9.375,9.5 ns,38,0, 0,$299.99
 Kingston ValueRAM 1 GB  ,DDR3-1333,1 x 1GB,$13.000,13.503 ns,9,0, 0,$13.00
 Corsair XMS3 16 GB  ,DDR3-1600,2 x 8GB,$5.474,11.25 ns,9,5, 12,$87.58
 Corsair Vengeance LPX 128 GB  ,DDR4-3600,4 x 32GB,,10 ns,18,0, 0,
 Corsair Dominator Platinum RGB 16 GB  ,DDR4-3200,2 x 8GB,$4.688,10 ns,16,0, 0,$75.00
 Corsair Dominator Platinum RGB 64 GB  ,DDR5-5200,2 x 32GB,$4.435,15.385 ns,40,0, 0,$283.82
 TEAMGROUP Dark Pro 16 GB  ,DDR4-3200,2 x 8GB,,8.75 ns,14,5, 12,
 TEAMGROUP T-Force Vulcan Z 16 GB  ,DDR4-2666,2 x 8GB,,13.503 ns,18,0, 0,
 Mushkin Redline Lumina 16 GB  ,DDR4-4133,2 x 8GB,$4.278,9.194 ns,19,0, 0,$68.45
 Mushkin 991556 2 GB  ,DDR2-667,1 x 2GB,$7.405,14.993 ns,5,0, 0,$14.81
 Kingston HyperX Fury 8 GB  ,DDR3-1600,2 x 4GB,$7.275,12.5 ns,10,5, 19,$58.20
 Kingston HyperX Fury 4 GB  ,DDR3-1866,1 x 4GB,$10.585,10.718 ns,10,5, 3,$42.34
 Corsair Vengeance RGB 16 GB  ,DDR4-3000,2 x 8GB,,10 ns,15,5, 31,
 G.Skill Trident Z Royal 32 GB  ,DDR4-3200,2 x 16GB,,10 ns,16,4, 4,
 Kingston Server Premier 16 GB  ,DDR4-3200,1 x 16GB,$2.812,13.75 ns,22,0, 0,$44.99
 Crucial CT6464AC667 0.5 GB  ,DDR2-667,1 x 512MB,,14.993 ns,5,0, 0,
 Corsair Vengeance Pro 32 GB  ,DDR3-2800,4 x 8GB,,8.571 ns,12,0, 0,
 TEAMGROUP Elite Plus 8 GB  ,DDR4-2400,1 x 8GB,,13.333 ns,16,5, 2,
 Kingston HyperX Fury 16 GB  ,DDR4-2400,4 x 4GB,,12.5 ns,15,5, 2,
 Corsair Vengeance LPX 32 GB  ,DDR4-3200,2 x 16GB,,10 ns,16,5, 6,
 Crucial Ballistix 32 GB  ,DDR4-3600,2 x 16GB,,8.889 ns,16,5, 5,
 TEAMGROUP Team T-Force Night Hawk RGB 16GB ,DDR4-3600,2 x 8GB,,10 ns,18,0, 0,
 Kingston HyperX Fury RGB 16 GB  ,DDR4-3733,2 x 8GB,,10.179 ns,19,0, 0,
 OLOy WarHawk RGB 128 GB  ,DDR4-3200,4 x 32GB,,10 ns,16,5, 1,
 Corsair Vengeance LPX 32 GB  ,DDR4-3600,2 x 16GB,,10.556 ns,19,5, 1,
 G.Skill Ripjaws V 256 GB  ,DDR4-3600,8 x 32GB,,8.889 ns,16,0, 0,
 G.Skill Trident Z Royal Elite 32 GB  ,DDR4-4000,2 x 16GB,,7 ns,14,5, 1,
 Kingston FURY Renegade 256 GB  ,DDR4-3200,8 x 32GB,,10 ns,16,0, 0,
 Kingston Server Premier 32 GB  ,DDR4-2666,1 x 32GB,,14.254 ns,19,0, 0,
 G.Skill Trident Z RGB 8 GB  ,DDR4-3000,1 x 8GB,,10.667 ns,16,0, 0,
 Mushkin Redline 64 GB  ,DDR4-3600,2 x 32GB,$2.531,8.889 ns,16,0, 0,$161.99
 G.Skill Trident Z Neo 64 GB  ,DDR4-3600,4 x 16GB,$7.978,8.889 ns,16,5, 1,$510.59
 TEAMGROUP T-Create Classic 32 GB  ,DDR5-5200,2 x 16GB,$2.968,16.154 ns,42,0, 0,$94.99
 Samsung M393B2G70DB0-YK0 16 GB  ,DDR3-1600,1 x 16GB,$1.812,13.75 ns,11,0, 0,$28.99
 G.Skill Ripjaws V 64 GB  ,DDR4-3600,4 x 16GB,,7.778 ns,14,0, 0,
 G.Skill Trident Z Royal 128 GB  ,DDR4-3200,4 x 32GB,$2.656,10 ns,16,0, 0,$339.99
 ADATA XPG LANCER RGB 16 GB  ,DDR5-7200,1 x 16GB,,9.444 ns,34,0, 0,
 ADATA XPG LANCER RGB 32 GB  ,DDR5-6800,2 x 16GB,$4.750,10 ns,34,0, 0,$151.99
 G.Skill Trident Z5 RGB 32 GB  ,DDR5-5600,2 x 16GB,,14.286 ns,40,0, 0,
 G.Skill Ares 16 GB  ,DDR3-1600,4 x 4GB,$9.312,11.25 ns,9,0, 0,$149.00
 Crucial CT3KIT51264BA160B 12 GB  ,DDR3-1600,3 x 4GB,$3.104,13.75 ns,11,5, 2,$37.25
 Timetec 75TT21NU 8 GB  ,DDR4-2133,2 x 4GB,,14.065 ns,15,0, 0,
 Kingston Fury Renegade RGB 8 GB  ,DDR4-4000,1 x 8GB,$5.594,9.5 ns,19,0, 0,$44.75
 Kingston KSM48R40BS4TMM-32HMR 32 GB  ,DDR5-4800,1 x 32GB,$4.031,16.667 ns,40,0, 0,$128.99
 GOODRAM IRDM 32 GB  ,DDR5-5600,2 x 16GB,,10.714 ns,30,0, 0,
 Patriot Viper Venom RGB 64 GB  ,DDR5-5600,2 x 32GB,$3.281,14.286 ns,40,0, 0,$209.99
 ADATA XPG GAMMIX D10 16 GB  ,DDR4-3200,2 x 8GB,$10.479,10 ns,16,0, 0,$167.67
 Crucial CT2K16G4RFS4266 32 GB  ,DDR4-2666,2 x 16GB,$3.125,14.254 ns,19,0, 0,$99.99
 G.Skill Trident Z RGB 16 GB  ,DDR4-4600,2 x 8GB,$11.249,7.826 ns,18,0, 0,$179.99
 OLOy WarHawk RGB 64 GB  ,DDR4-3200,2 x 32GB,$2.109,10 ns,16,0, 0,$134.99
 G.Skill Trident Z Royal 128 GB  ,DDR4-3200,4 x 32GB,,8.75 ns,14,0, 0,
 Kingston Fury Renegade RGB 128 GB  ,DDR4-3600,4 x 32GB,$4.089,10 ns,18,0, 0,$523.41
 Mushkin Redline Lumina 16 GB  ,DDR4-3600,2 x 8GB,$3.466,10 ns,18,0, 0,$55.45
 Neo Forza MARS 16 GB  ,DDR4-4400,2 x 8GB,,8.636 ns,19,0, 0,
 TEAMGROUP T-Force DELTAÎ± RGB 32 GB  ,DDR5-5600,2 x 16GB,,14.286 ns,40,0, 0,
 Kingston KVR21R15S4K4/32 32 GB  ,DDR4-2133,4 x 8GB,$3.093,14.065 ns,15,0, 0,$98.99
 Crucial CT8G4WFS824A 8 GB  ,DDR4-2400,1 x 8GB,$13.314,14.167 ns,17,0, 0,$106.51
 PNY Performance 16 GB  ,DDR4-3200,1 x 16GB,$2.374,13.75 ns,22,0, 0,$37.99
 Kingston HyperX Blu 8 GB  ,DDR3-1333,2 x 4GB,,13.503 ns,9,5, 23,
 Kingston HyperX Fury 16 GB  ,DDR3-1866,2 x 8GB,,10.718 ns,10,5, 9,
 Kingston HyperX Fury 16 GB  ,DDR3-1866,2 x 8GB,,11.79 ns,11,5, 2,
 G.Skill Aegis 4 GB  ,DDR4-2400,1 x 4GB,,12.5 ns,15,0, 0,
 Kingston ValueRAM 16 GB  ,DDR4-2400,1 x 16GB,$3.856,14.167 ns,17,0, 0,$61.69
 Corsair Vengeance RGB 16 GB  ,DDR4-3200,2 x 8GB,,10 ns,16,5, 7,
 TEAMGROUP Elite Plus 16 GB  ,DDR4-2400,2 x 8GB,,13.333 ns,16,5, 1,
 Corsair CORSAIR Vengeance LPX 64GB ,DDR4-3200,4 x 16GB,,10 ns,16,0, 0,
 Corsair Vengeance RGB 64 GB  ,DDR4-3000,4 x 16GB,,10.667 ns,16,0, 0,
 Corsair Vengeance RGB Pro 32 GB  ,DDR4-3000,4 x 8GB,,10 ns,15,5, 5,
 OLOy WarHawk RGB 32 GB  ,DDR4-3200,2 x 16GB,,10 ns,16,5, 2,
 G.Skill Trident Z Royal 16 GB  ,DDR4-3600,2 x 8GB,$5.312,8.889 ns,16,5, 1,$84.99
 Neo Forza FAYE 16 GB  ,DDR4-3600,2 x 8GB,,10 ns,18,4, 1,
 G.Skill Trident Z5 RGB 32 GB  ,DDR5-5600,2 x 16GB,,10 ns,28,0, 0,
 ADATA XPG SPECTRIX D50 32 GB  ,DDR4-3600,4 x 8GB,,10 ns,18,0, 0,
 Mushkin Redline 64 GB  ,DDR4-3600,2 x 32GB,,7.778 ns,14,0, 0,
 Crucial Ballistix 16 GB  ,DDR4-3600,1 x 16GB,,8.889 ns,16,0, 0,
 Klevv CRAS V RGB 32 GB  ,DDR5-6400,2 x 16GB,,10 ns,32,0, 0,
 GOODRAM IRDM 64 GB  ,DDR5-6000,2 x 32GB,,10 ns,30,0, 0,
 GOODRAM IRDM 32 GB  ,DDR5-6400,2 x 16GB,,10 ns,32,0, 0,
 Silicon Power XPOWER Zenith Gaming 32 GB  ,DDR5-5200,2 x 16GB,,14.615 ns,38,0, 0,
 Corsair Dominator Platinum RGB 64 GB  ,DDR5-5600,2 x 32GB,$3.562,14.286 ns,40,0, 0,$227.99
 Crucial CT16G4RFD4213 16 GB  ,DDR4-2133,1 x 16GB,$2.123,14.065 ns,15,0, 0,$33.97
 PROXMEM KERBEROS TUF 32 GB  ,DDR5-6800,2 x 16GB,$3.468,10 ns,34,0, 0,$110.99
 G.Skill F4-3200C16D-32GTZ 32 GB  ,DDR4-3200,2 x 16GB,$2.300,10 ns,16,0, 0,$73.61
 G.Skill Value 8 GB  ,DDR3-1600,2 x 4GB,$2.799,13.75 ns,11,5, 2,$22.39
 G.Skill Sniper X 16 GB  ,DDR4-3200,2 x 8GB,$2.562,10 ns,16,5, 1,$40.99
 Kingston Fury Renegade RGB 16 GB  ,DDR4-3200,2 x 8GB,$3.992,10 ns,16,0, 0,$63.87
 Corsair Vengeance RGB RT 32 GB  ,DDR4-3200,4 x 8GB,$3.906,10 ns,16,0, 0,$124.99
 G.Skill Flare X 16 GB  ,DDR4-2400,2 x 8GB,$2.864,12.5 ns,15,5, 10,$45.83
 G.Skill Trident Z RGB 16 GB  ,DDR4-2666,2 x 8GB,$3.437,13.503 ns,18,5, 2,$54.99
 Samsung M391A2K43BB1-CPB 16 GB  ,DDR4-2133,1 x 16GB,$3.061,14.065 ns,15,0, 0,$48.97
 Corsair XMS3 4 GB  ,DDR3-1333,1 x 4GB,$8.947,13.503 ns,9,5, 2,$35.79
 Corsair Dominator Platinum RGB 128 GB  ,DDR4-3600,8 x 16GB,,10 ns,18,0, 0,
 G.Skill Trident Z5 32 GB  ,DDR5-6000,2 x 16GB,,13.333 ns,40,0, 0,
 G.Skill Ripjaws V 16 GB  ,DDR4-4600,2 x 8GB,,8.261 ns,19,0, 0,
 Kingston FURY Beast RGB 64 GB  ,DDR4-3200,2 x 32GB,,10 ns,16,0, 0,
 Kingston FURY Renegade 32 GB  ,DDR4-3600,4 x 8GB,$4.373,8.889 ns,16,4, 1,$139.94
 Patriot Signature Line 4 GB  ,DDR4-2666,1 x 4GB,$4.763,14.254 ns,19,0, 0,$19.05
 Corsair Vengeance 4 GB  ,DDR3-1600,1 x 4GB,$8.745,11.25 ns,9,4, 14,$34.98
 TEAMGROUP Elite 8 GB  ,DDR3-1600,1 x 8GB,$2.734,13.75 ns,11,5, 2,$21.87
 Corsair Dominator Platinum RGB 16 GB  ,DDR4-3200,2 x 8GB,$4.999,10 ns,16,0, 0,$79.99
 Kingston FURY Beast 8 GB  ,DDR4-3200,2 x 4GB,$7.688,10 ns,16,0, 0,$61.50
 TEAMGROUP T-Force Delta RGB 16 GB  ,DDR4-3600,1 x 16GB,,10 ns,18,0, 0,
 Kingston Server Premier 16 GB  ,DDR4-2666,1 x 16GB,$17.361,14.254 ns,19,0, 0,$277.77
 Silicon Power SP008GBLFU213B02 8 GB  ,DDR4-2133,1 x 8GB,$2.411,14.065 ns,15,0, 0,$19.29
 HP B4U37AA 8 GB  ,DDR3-1600,1 x 8GB,,13.75 ns,11,5, 1,
 G.Skill Ripjaws 32 GB  ,DDR4-2133,4 x 8GB,$2.505,14.065 ns,15,0, 0,$80.17
 Kingston HyperX Savage 16 GB  ,DDR3-1866,2 x 8GB,,9.646 ns,9,5, 5,
 Mushkin Proline 32 GB  ,DDR3-1866,1 x 32GB,,13.934 ns,13,0, 0,
 Corsair Dominator Platinum 32 GB  ,DDR4-3200,2 x 16GB,,10 ns,16,5, 5,
 Kingston HyperX Fury 32 GB  ,DDR4-2666,2 x 16GB,,12.003 ns,16,5, 1,
 Patriot Viper Venom RGB 16 GB  ,DDR4-3200,2 x 8GB,,10 ns,16,5, 6,
 Kingston HyperX Fury RGB 32 GB  ,DDR4-2666,2 x 16GB,,12.003 ns,16,5, 1,
 Crucial Ballistix 8 GB  ,DDR4-2400,2 x 4GB,,13.333 ns,16,5, 2,
 Crucial Ballistix 32 GB  ,DDR4-2666,2 x 16GB,,12.003 ns,16,5, 1,
 Corsair Vengeance LPX 32 GB  ,DDR4-4600,4 x 8GB,,7.826 ns,18,0, 0,
 Kingston HyperX Fury 32 GB  ,DDR4-3200,4 x 8GB,,10 ns,16,0, 0,
 Apacer AU 16 GB  ,DDR4-3200,1 x 16GB,,13.75 ns,22,0, 0,
 Neo Forza FAYE 8 GB  ,DDR4-3000,1 x 8GB,,10 ns,15,0, 0,
 Kingston ValueRAM 32 GB  ,DDR4-3200,1 x 32GB,$2.281,13.75 ns,22,0, 0,$72.98
 VisionTek OCPC PISTA RGB 32 GB  ,DDR5-5200,2 x 16GB,$10.000,13.846 ns,36,0, 0,$319.99
 TEAMGROUP Elite Plus 32 GB  ,DDR5-4800,2 x 16GB,,16.667 ns,40,0, 0,
 Kingston FURY Beast RGB 32 GB  ,DDR5-5600,1 x 32GB,$4.150,12.857 ns,36,0, 0,$132.79
 Crucial Pro Overclocking 48 GB  ,DDR5-6000,2 x 24GB,,12 ns,36,0, 0,
 Kingston FURY Impact 16 GB  ,DDR5-5600,1 x 16GB,$4.128,14.286 ns,40,0, 0,$66.05
 Mushkin Redline Lumina 16 GB  ,DDR4-3600,2 x 8GB,$3.777,8.889 ns,16,0, 0,$60.43
 TEAMGROUP T-Create Expert 32 GB  ,DDR4-3600,2 x 16GB,$9.188,7.778 ns,14,0, 0,$294.00
 Mushkin Redline Lumina White 32 GB  ,DDR5-6800,2 x 16GB,$3.687,10 ns,34,0, 0,$117.98
 G.Skill Ripjaws 32 GB  ,DDR5-4800,2 x 16GB,$2.968,15.833 ns,38,0, 0,$94.99
 Kingston Fury Renegade RGB 8 GB  ,DDR4-3600,1 x 8GB,$5.067,8.889 ns,16,0, 0,$40.54
 Patriot Viper 3 8 GB  ,DDR3-1600,1 x 8GB,$2.123,12.5 ns,10,5, 4,$16.98
 Silicon Power SP032GBLFU266X22 32 GB  ,DDR4-2666,2 x 16GB,,14.254 ns,19,0, 0,
 G.Skill Value 8 GB  ,DDR3-1600,1 x 8GB,$2.408,13.75 ns,11,4, 6,$19.26
 Kingston ValueRAM 16 GB  ,DDR5-4800,2 x 8GB,$4.374,16.667 ns,40,0, 0,$69.98
 Patriot Viper 4 Blackout 16 GB  ,DDR4-4400,2 x 8GB,$9.293,8.182 ns,18,0, 0,$148.69
 Patriot Viper Xtreme 5 RGB 48 GB  ,DDR5-7600,2 x 24GB,$4.791,9.474 ns,36,0, 0,$229.99
 G.Skill Ripjaws X 8 GB  ,DDR3-1600,1 x 8GB,$3.154,11.25 ns,9,5, 17,$25.23
 G.Skill Trident Z RGB 32 GB  ,DDR4-3600,4 x 8GB,,8.889 ns,16,5, 3,
 ADATA XPG CASTER RGB 16 GB  ,DDR5-6000,1 x 16GB,,13.333 ns,40,0, 0,
 ADATA XPG LANCER RGB 32 GB  ,DDR5-6000,1 x 32GB,,10 ns,30,0, 0,
 G.Skill Ripjaws 4 8 GB  ,DDR4-2400,2 x 4GB,$4.025,12.5 ns,15,5, 6,$32.20
 G.Skill Aegis 16 GB  ,DDR4-2400,2 x 8GB,$5.312,12.5 ns,15,4, 10,$85.00
 Kingston KCP316ND8/8 8 GB  ,DDR3-1600,1 x 8GB,$2.498,13.75 ns,11,0, 0,$19.98
 Kingston KCP426NS8/8 8 GB  ,DDR4-2666,1 x 8GB,$3.355,14.254 ns,19,0, 0,$26.84
 G.Skill Trident Z Royal 64 GB  ,DDR4-3200,4 x 16GB,$9.359,8.75 ns,14,0, 0,$599.00
 G.Skill Trident Z Royal 32 GB  ,DDR4-3600,2 x 16GB,$3.957,10.556 ns,19,0, 0,$126.62
 Crucial Ballistix MAX 32 GB  ,DDR4-4000,2 x 16GB,,9 ns,18,5, 1,
 TEAMGROUP T-Force Vulcan Z 8 GB  ,DDR4-3600,1 x 8GB,$3.425,10 ns,18,0, 0,$27.40
 Kingston FURY Beast 16 GB  ,DDR4-2666,1 x 16GB,$2.991,12.003 ns,16,0, 0,$47.86
 G.Skill Ripjaws X 32 GB  ,DDR3-2400,4 x 8GB,$9.531,9.167 ns,11,5, 1,$304.98
 Kingston HyperX Fury 16 GB  ,DDR3-1600,2 x 8GB,$5.904,12.5 ns,10,5, 5,$94.46
 G.Skill Trident Z RGB 16 GB  ,DDR4-3600,2 x 8GB,$4.999,9.444 ns,17,5, 13,$79.98
 Mushkin Proline 16 GB  ,DDR4-2133,1 x 16GB,$2.599,14.065 ns,15,0, 0,$41.59
 Patriot Signature Premium 8 GB  ,DDR4-2666,2 x 4GB,,14.254 ns,19,5, 2,
 TEAMGROUP T-Force Delta RGB 32 GB  ,DDR4-3200,2 x 16GB,,10 ns,16,5, 8,
 G.Skill Aegis 64 GB  ,DDR4-3200,4 x 16GB,,10 ns,16,0, 0,
 G.Skill Trident Z5 RGB 32 GB  ,DDR5-5600,2 x 16GB,$3.988,12.857 ns,36,0, 0,$127.62
 Kingston FURY Renegade 16 GB  ,DDR4-3200,1 x 16GB,$3.747,10 ns,16,5, 1,$59.95
 GOODRAM IRDM 64 GB  ,DDR5-6800,2 x 32GB,,10 ns,34,0, 0,
 Kingston HyperX 8 GB  ,DDR3-1600,2 x 4GB,$9.697,11.25 ns,9,5, 48,$77.58
 Kingston KHX1600C10D3B1/8G 8 GB  ,DDR3-1600,1 x 8GB,,12.5 ns,10,4, 19,
 G.Skill Trident Z 16 GB  ,DDR4-3400,2 x 8GB,,9.412 ns,16,4, 3,
 GeIL EVO POTENZA 16 GB  ,DDR4-2400,2 x 8GB,,13.333 ns,16,4, 13,
 Kingston FURY 8 GB  ,DDR4-2400,1 x 8GB,,12.5 ns,15,5, 6,
 Avexir Core 16 GB  ,DDR4-2400,2 x 8GB,,13.333 ns,16,5, 7,
 Corsair Vengeance LED 32 GB  ,DDR4-2666,2 x 16GB,$5.625,12.003 ns,16,5, 1,$179.99
 G.Skill TridentZ RGB  128 GB  ,DDR4-3200,8 x 16GB,,8.75 ns,14,5, 1,
 ADATA XPG SPECTRIX D40 16 GB  ,DDR4-3200,2 x 8GB,,10 ns,16,5, 3,
 Patriot Viper Elite 32 GB  ,DDR4-2666,2 x 16GB,,12.003 ns,16,5, 3,
 Samsung Samsung DDR4 2133MHz CL15 16GB RegECC 2Rx4 M393A2G40EB1-CPB 1.2V single pack 16 GB  ,DDR4-2133,1 x 16GB,,14.065 ns,15,0, 0,
