Brand,Model,Core Count,Performance Core Clock,Boost Clock,TDP,Integrated Graphics,Sockets Supported,Rating,Rating Count,Price,Release Year
AMD,Ryzen 9 3950X  ,16,3.5 GHz,4.7 GHz,105 W,,Yes,5,62,$515.00,2019.0
Intel,Core i9-11900KF  ,8,3.5 GHz,5.3 GHz,125 W,,Yes,4,2,$240.00,2020.0
Intel,Core i3-14100  ,4,3.5 GHz,4.7 GHz,60 W,Intel UHD Graphics 730,Yes,0,0,$139.99,2023.0
Intel,Core i7-7700  ,4,3.6 GHz,4.2 GHz,65 W,Intel HD Graphics 630,Yes,5,34,$167.00,2016.0
Intel,Core i9-10850K  ,10,3.6 GHz,5.2 GHz,125 W,Intel UHD Graphics 630,Yes,5,58,$286.00,2019.0
AMD,Ryzen 5 5500GT  ,6,3.6 GHz,4.4 GHz,65 W,Radeon Vega 7,Yes,0,0,$125.00,2021.0
Intel,Core i7-11700F  ,8,2.5 GHz,4.9 GHz,65 W,,Yes,5,2,$213.02,2020.0
Intel,Core i7-10700F  ,8,2.9 GHz,4.8 GHz,65 W,,Yes,5,7,$225.99,2019.0
Intel,Core i7-14700  ,20,2.1 GHz,5.4 GHz,65 W,Intel UHD Graphics 770,Yes,0,0,$399.99,2023.0
Intel,Core i7-12700  ,12,2.1 GHz,4.9 GHz,65 W,Intel UHD Graphics 770,Yes,5,7,$265.49,2021.0
AMD,Ryzen 5 5600GT  ,6,3.6 GHz,4.6 GHz,65 W,Radeon Vega 7,Yes,0,0,$140.00,2021.0
AMD,Ryzen 7 2700  ,8,3.2 GHz,4.1 GHz,65 W,,Yes,5,70,$185.00,2018.0
Intel,Core i9-12900KS  ,16,3.4 GHz,5.5 GHz,150 W,Intel UHD Graphics 770,Yes,5,5,$409.99,2021.0
AMD,Ryzen 5 1600 ,6,3.2 GHz,3.6 GHz,65 W,,Yes,5,55,$120.00,2017.0
Intel,Core i7-10700  ,8,2.9 GHz,4.8 GHz,65 W,Intel UHD Graphics 630,Yes,5,30,$238.62,2019.0
Intel,Core i7-11700  ,8,2.5 GHz,4.9 GHz,65 W,Intel UHD Graphics 750,Yes,5,10,$215.99,2020.0
Intel,Core i5-11400  ,6,2.6 GHz,4.4 GHz,65 W,Intel UHD Graphics 730,Yes,5,35,$150.94,2020.0
Intel,Core i5-7500  ,4,3.4 GHz,3.8 GHz,65 W,Intel HD Graphics 630,No,5,76,$89.00,2016.0
Intel,Core i3-10105F  ,4,3.7 GHz,4.4 GHz,65 W,,Yes,5,5,$80.57,2019.0
Intel,Core i5-14400  ,10,2.5 GHz,4.7 GHz,65 W,Intel UHD Graphics 730,Yes,0,0,$229.99,2023.0
Intel,Core i5-10600KF  ,6,4.1 GHz,4.8 GHz,125 W,,Yes,5,8,$133.00,2019.0
Intel,Core i5-11600K  ,6,3.9 GHz,4.9 GHz,125 W,Intel UHD Graphics 750,Yes,5,34,$197.40,2020.0
Intel,Core i3-10100  ,4,3.6 GHz,4.3 GHz,65 W,Intel UHD Graphics 630,Yes,5,38,$100.81,2019.0
Intel,Core i9-14900  ,24,2 GHz,5.8 GHz,65 W,Intel UHD Graphics 770,Yes,0,0,$568.07,2023.0
Intel,Core i5-8600K  ,6,3.6 GHz,4.3 GHz,95 W,Intel UHD Graphics 630,No,5,143,$224.06,2017.0
Intel,Core i9-9900KF  ,8,3.6 GHz,5 GHz,95 W,,Yes,5,16,$386.74,2018.0
Intel,Core i7-10700KF  ,8,3.8 GHz,5.1 GHz,125 W,,Yes,5,6,$240.00,2019.0
AMD,Ryzen 9 3950X  ,16,3.5 GHz,4.7 GHz,105 W,,Yes,0,0,$2147.03,2019.0
AMD,Ryzen 3 2200G  ,4,3.5 GHz,3.7 GHz,65 W,Radeon Vega 8,No,5,135,$130.00,2018.0
Intel,Core i7-9700  ,8,3 GHz,4.7 GHz,65 W,Intel HD Graphics 630,No,5,2,$260.26,2018.0
Intel,Core i9-10900KF  ,10,3.7 GHz,5.3 GHz,125 W,,Yes,5,9,$282.82,2019.0
Intel,Core i3-13100  ,4,3.4 GHz,4.5 GHz,60 W,Intel UHD Graphics 730,Yes,5,1,$147.99,2022.0
AMD,Ryzen 7 1700  ,8,3 GHz,3.7 GHz,65 W,,Yes,5,170,$195.00,2017.0
Intel,Core i5-7400  ,4,3 GHz,3.5 GHz,65 W,Intel HD Graphics 630,No,4,15,$110.00,2016.0
AMD,Ryzen 5 3600  ,6,3.6 GHz,4.2 GHz,65 W,,Yes,5,1,$163.55,2019.0
Intel,Core i3-9100F  ,4,3.6 GHz,4.2 GHz,65 W,,No,5,27,$115.00,2018.0
