Name,Type,Efficiency,Wattage,Modular,Rating,Rating Count,Price
 EVGA SuperNOVA 1000 P6  ,ATX, Rating80+ Platinum,1000 W,Full,5, 5,$226.52
 SeaSonic FOCUS GX-850 ATX 3.0  ,ATX, Rating80+ Gold,850 W,Full,5, 1,$139.99
 Vetroo GV1000  ,ATX, Rating80+ Gold,1000 W,Full,5, 1,$129.99
 Gigabyte P850GM  ,ATX, Rating80+ Gold,850 W,Full,4, 14,
 EVGA 700 BR  ,ATX, Rating80+ Bronze,700 W,No,5, 22,$84.98
 Thermaltake TR2  ,ATX, Rating,500 W,No,4, 20,$68.73
 EVGA 650 GQ  ,ATX, Rating80+ Gold,650 W,Semi,5, 106,$119.99
 Corsair CV750  ,ATX, Rating80+ Bronze,750 W,No,4, 5,
 Thermaltake Smart BX1  ,ATX, Rating80+ Bronze,750 W,No,5, 1,$74.98
 EVGA GE  ,ATX, Rating80+ Gold,800 W,No,5, 1,$145.78
 Thermaltake Toughpower GF A3 - TT Premium Edition  ,ATX, Rating80+ Gold,650 W,Full,0, 0,$97.41
 Thermaltake Toughpower GF A3 - TT Premium Edition  ,ATX, Rating80+ Gold,1050 W,Full,0, 0,$134.99
 EVGA SuperNOVA 750 G2  ,ATX, Rating80+ Gold,750 W,Full,5, 309,
 be quiet! Pure Power 12 M  ,ATX, Rating80+ Gold,550 W,Full,5, 1,$169.90
 SeaSonic FOCUS GX  ,ATX, Rating80+ Gold,1000 W,Full,5, 8,$169.99
 Thermaltake Toughpower GF1 PE  ,ATX, Rating80+ Gold,850 W,Full,5, 42,$102.11
 Thermaltake Smart BM3  ,ATX, Rating80+ Bronze,850 W,Semi,4, 1,$79.98
 Corsair SF600  ,SFX, Rating80+ Platinum,600 W,Full,5, 85,$225.00
 be quiet! System Power 10  ,ATX, Rating80+ Bronze,750 W,No,5, 2,$151.20
 Deepcool PM750D  ,ATX, Rating80+ Gold,750 W,No,0, 0,$82.99
 EVGA 500 BQ  ,ATX, Rating80+ Bronze,500 W,Semi,5, 102,
 EVGA 650 B5  ,ATX, Rating80+ Bronze,650 W,Full,5, 14,$84.99
 Super Flower Leadex III Gold  ,ATX, Rating80+ Gold,750 W,Full,5, 21,$105.62
 Thermaltake Toughpower GF A3 - TT Premium Edition  ,ATX, Rating80+ Gold,750 W,Full,0, 0,$89.99
 Cooler Master V650 SFX GOLD  ,SFX, Rating80+ Gold,650 W,Full,4, 10,
 Deepcool PQ1000M  ,ATX, Rating80+ Gold,1000 W,Full,5, 2,$135.99
 MSI MEG Ai1000P PCIE5  ,ATX, Rating80+ Platinum,1000 W,Full,5, 1,$251.00
 be quiet! System Power 10  ,ATX, Rating80+ Gold,850 W,No,5, 2,$187.38
 Asus ROG LOKI  ,SFX, Rating80+ Platinum,1000 W,Full,5, 4,
 Corsair RM750x ,ATX, Rating80+ Gold,750 W,Full,5, 147,$169.96
 be quiet! Straight Power 12  ,ATX, Rating80+ Platinum,750 W,Full,0, 0,$139.90
